,games,name,pAssists,pBlocks,pFaceoffWins,pGoals,pHits,pPPpoints,pPenaltyMin,positionX,positionY
34,37.0,Phillip Danault,-0.0298988480807,0.0916104795791,2.32750075544,0.273069882632,-0.0934026910291,-1.0,-0.482539406968,LW,LW
35,30.0,Casey Cizikas,0.196458087367,0.55668202765,3.00478915397,-0.102788844622,1.23627336213,-1.0,0.148762516531,C,C
36,35.0,Vernon Fiddler,-0.772103221454,-0.350881625536,2.36470262724,-0.807740466705,-0.0415971305165,-1.0,0.367574424442,LW,C
37,33.0,Matt Duchene,0.329397874852,-0.0820548239903,2.55060064506,1.65085114089,-0.628114185899,0.841624642224,-0.883963382169,C,C
38,38.0,Connor McDavid,2.04362145032,-0.667848784996,2.08341634966,1.47913608723,-0.698576761202,0.599305610353,-0.193850865592,C,C
39,38.0,Tyler Seguin,1.6238115951,-0.534988298995,2.05211263037,1.30205493814,-0.138790746292,4.59756963623,-0.294619507393,C,C
40,37.0,Jordan Martinook,-0.137687864961,0.228061789526,1.95777844928,0.0912027565414,-0.3145239859,-0.178734956846,-0.172063051149,LW,LW
41,16.0,Bryan Little,0.495572609209,-0.52668451862,5.83986266397,1.5234063745,-0.642059903928,2.79835082459,-0.521348951445,C,C
42,39.0,Matt Stajan,0.227136499864,-0.0614599001696,1.77559644335,-0.482378179589,-0.328698427879,-1.0,-0.410891017163,C,C
43,37.0,Jean-Gabriel Pageau,-0.0298988480807,0.125723307066,1.90955380065,-0.272531495639,0.791082488455,-1.0,-0.689523644181,C,C
44,38.0,Derek MacKenzie,-0.475237680979,-0.269267326992,1.75472729716,-0.291675403649,1.2176138283,-1.0,-0.244235186493,C,C
45,37.0,Joe Thornton,1.47914738824,-0.385969105237,1.76487985476,-0.63626574782,-0.380860374361,-1.0,0.345397541883,C,C
46,37.0,Logan Couture,0.293468202559,0.364513099474,1.74880497189,1.00053838699,-0.380860374361,3.92759025892,-0.482539406968,C,C
47,31.0,Jason Spezza,0.929771108657,-0.511416277285,2.26164559011,0.519470505076,-0.762472931639,-0.0197804323645,0.173467086779,C,C
48,40.0,Dominic Moore,-0.601180637544,-0.242695229792,1.51290606567,0.345816733068,-0.284119807855,-1.0,-0.138428112602,C,C
49,39.0,Sam Bennett,-0.0796476251022,-0.255640610479,1.56208902463,0.552865461232,0.678253930303,0.55829777419,0.914604194219,C,C
50,37.0,Chris Tierney,-0.245476881841,-0.147179312829,1.68450544038,-0.454398621729,-0.513533151284,-1.0,-1.0,C,C
51,40.0,Riley Nash,-0.50147579693,-0.52668451862,1.31960559908,-0.831772908367,-0.44774956606,-1.0,-0.712809370867,C,C
52,36.0,Brayden Schenn,0.44018103109,-0.158550255324,1.54429673974,1.05610889774,1.22718282001,5.75262368816,0.276402796146,C,LW
53,35.0,Mark Letestu,0.139483892731,-0.350881625536,1.59999748469,0.345816733068,-0.135099849491,1.60458342257,-0.507673207201,C,C
54,32.0,John Mitchell,-1.0,0.064959833105,1.80657408223,-0.789716135458,0.0226859887781,-1.0,0.196627621387,C,LW
55,38.0,Devin Shore,-0.160380289567,0.295389738514,1.28517150787,0.0624868945272,-0.526334910461,-1.0,-0.798462716398,C,C
56,36.0,Mike Ribeiro,0.883313656041,-0.824697969859,1.27995422132,-0.252324037185,-0.363662051427,0.688155922039,-0.255431702248,C,C
57,32.0,Derek Grant,-0.626106847698,-0.132254950803,1.49060216568,-1.0,-0.411955556453,-1.0,0.136796240317,C,LW
58,36.0,Jay McClement,-0.778433687525,0.0167517748163,1.16430436952,-0.626162018592,-0.22730391959,-1.0,-0.468165501606,C,C
59,37.0,Kyle Brodziak,-0.67663294936,-0.147179312829,0.928985945185,-0.0906643695488,-0.226075467952,-1.0,0.190159363974,C,RW
60,35.0,Zack Smith,-0.202361275089,-0.314819493621,1.02222026587,0.538076266363,0.47266782384,-1.0,0.695792286308,C,LW
61,27.0,Michael Chaput,-0.556867375049,-0.6260223357,1.62139664094,-1.0,-0.0606439806779,-1.0,-0.0781535361169,C,C
62,16.0,Cody Eakin,-0.750737898465,-0.29002677793,3.42360683159,-1.0,0.38062608485,-1.0,1.03426695636,C,C
63,28.0,Tyler Graovac,-1.0,-0.59430101596,1.4852917133,-0.279026750142,0.0226859887781,-1.0,-0.726485115112,C,C
64,37.0,Chris Kelly,-0.4610549156,-0.0789536578551,0.687862702036,-0.63626574782,-0.15973907949,-1.0,-0.482539406968,C,C
65,31.0,Cedric Paquette,-0.485394371025,-0.104263175023,0.918615053006,-0.348798354967,1.50723016604,-1.0,1.28517274794,C,RW
