Player,Pos.x,Rk,Tm,Age,GP,G,A,PTS,X...,PIM,EV,PP,SH,GW,S,S.,TOI,G.1,A.1,PTS.1,S.1,OPS,DPS,PS.,Pos.y,Cap
Aaron Ekblad,D,73,FLA,20,38,7,3,10,-17,36,5,2,0,2,129,5.4,870,0.18,0.08,0.26,3.39,0.8,0.8,1.6\,D,925000
Michael Matheson,D,169,FLA,22,37,3,9,12,-2,14,3,0,0,0,90,3.3,755,0.08,0.24,0.32,2.43,0.7,1.8,2.5\,D,925000
Troy Stecher,D,273,VAN,22,30,1,9,10,-3,15,1,0,0,0,74,1.4,625,0.03,0.3,0.33,2.47,0.5,1.3,1.8\,D,925000
Brandon Montour,D,339,ANA,22,2,0,0,0,0,2,0,0,0,0,2,0,28,0,0,0,1,0,0.1,0.0\,D,925000
Kris Versteeg,RW,108,CGY,30,27,6,11,17,2,8,4,2,0,1,38,15.8,372,0.22,0.41,0.63,1.41,1.5,0.5,2.0\,LW,925000
Ryan Spooner,C,87,BOS,25,39,7,12,19,-1,10,5,2,0,2,80,8.8,571,0.18,0.31,0.49,2.05,1.4,0.8,2.2\,C,950000
Boyd Gordon,C,245,PHI,33,11,1,0,1,-3,2,1,0,0,0,6,16.7,91,0.09,0,0.09,0.55,0,0,0.0\,C,950000
Eric Gryba,D,246,EDM,28,19,1,1,2,1,34,1,0,0,1,20,5,326,0.05,0.05,0.11,1.05,-0.1,0.8,0.7\,D,950000
Kyle Brodziak,C,111,STL,32,37,5,3,8,-3,23,5,0,0,1,35,14.3,376,0.14,0.08,0.22,0.95,0.4,0.3,0.7\,RW,950000
Colton Sceviour,C,129,FLA,27,37,5,7,12,-10,14,2,1,2,1,69,7.2,553,0.14,0.19,0.32,1.86,0.4,0.3,0.7\,RW,950000
Jordan Nolan,C,204,LAK,27,27,2,3,5,-2,40,2,0,0,0,21,9.5,284,0.07,0.11,0.19,0.78,0,0.3,0.3\,RW,950000
Nathan Beaulieu,D,223,MTL,24,31,1,8,9,15,25,1,0,0,1,48,2.1,591,0.03,0.26,0.29,1.55,0.4,2.2,2.6\,D,1000000
Kevin Connauton,D,290,ARI,26,9,0,1,1,-1,6,0,0,0,0,10,0,117,0,0.11,0.11,1.11,0,0.2,0.1\,D,1000000
Ryan White,C,220,ARI,28,30,2,3,5,-7,60,2,0,0,1,22,9.1,317,0.07,0.1,0.17,0.73,-0.1,0.1,0.0\,RW,1000000
Patrick Eaves,RW,10,DAL,32,37,13,9,22,-8,12,6,7,0,1,88,14.8,614,0.35,0.24,0.59,2.38,2.2,0.3,2.5\,RW,1000000
Robert Bortuzzo,D,226,STL,27,11,1,1,2,6,2,1,0,0,0,15,6.7,152,0.09,0.09,0.18,1.36,0.1,0.9,1.0\,D,1050000
Alex Petrovic,D,265,FLA,24,16,1,4,5,8,6,1,0,0,0,14,7.1,287,0.06,0.25,0.31,0.88,0.3,1.4,1.7\,D,1050000
Jordie Benn,D,185,DAL,29,35,2,8,10,1,20,2,0,0,0,34,5.9,664,0.06,0.23,0.29,0.97,0.5,1.4,1.9\,D,1100000
Mark Borowiecki,D,225,OTT,27,35,1,1,2,0,65,1,0,0,0,17,5.9,471,0.03,0.03,0.06,0.49,-0.3,1.1,0.9\,D,1100000
Brandon Pirri,RW,102,NYR,25,37,6,8,14,0,15,2,4,0,3,57,10.5,464,0.16,0.22,0.38,1.54,1,0.4,1.4\,LW,1100000
Mark Pysyk,D,266,FLA,25,38,1,6,7,0,6,1,0,0,0,41,2.4,706,0.03,0.16,0.18,1.08,0,1.8,1.8\,D,1125000
Ryan Reaves,RW,208,STL,30,36,2,4,6,2,24,2,0,0,1,25,8,277,0.06,0.11,0.17,0.69,0.1,0.4,0.6\,RW,1125000
Chris Stewart,RW,90,MIN,29,36,7,3,10,0,47,7,0,0,0,33,21.2,378,0.19,0.08,0.28,0.92,0.9,0.3,1.2\,RW,1150000
Paul Byron,LW,16,MTL,27,37,12,11,23,8,14,11,0,1,2,50,24,557,0.32,0.3,0.62,1.35,2.4,0.8,3.2\,RW,1166666
Torrey Mitchell,C,78,MTL,32,37,7,5,12,7,22,7,0,0,1,36,19.4,499,0.19,0.14,0.32,0.97,0.7,0.7,1.4\,C,1200000
Jay McClement,C,201,CAR,33,36,2,2,4,-8,10,2,0,0,1,23,8.7,416,0.06,0.06,0.11,0.64,-0.5,0.2,-0.3\,C,1200000
Chris Thorburn,RW,179,WPG,33,29,3,0,3,-5,65,2,0,1,0,19,15.8,231,0.1,0,0.1,0.66,0,0,0.1\,RW,1200000
Vernon Fiddler,LW,241,NJD,36,35,1,2,3,-6,25,0,0,1,0,33,3,433,0.03,0.06,0.09,0.94,-0.8,0.4,-0.4\,C,1250000
Kyle Quincey,D,206,NJD,31,36,2,7,9,4,18,2,0,0,0,43,4.7,634,0.06,0.19,0.25,1.19,0.5,2,2.4\,D,1250000
Luke Schenn,D,358,ARI,27,33,0,2,2,1,39,0,0,0,0,40,0,524,0,0.06,0.06,1.21,-0.4,1.3,0.8\,D,1250000
Derek MacKenzie,C,143,FLA,35,38,4,5,9,2,15,4,0,0,0,44,9.1,460,0.11,0.13,0.24,1.16,0.2,0.7,0.9\,C,1300000
Peter Holland,C,322,TOT,26,17,0,4,4,-5,8,0,0,0,0,28,0,219,0,0.24,0.24,1.65,-0.2,0,-0.2\,C,1300000
Devante Smith-Pelly,RW,214,NJD,24,32,2,4,6,-9,8,2,0,0,0,52,3.8,429,0.06,0.13,0.19,1.63,-0.3,0.2,-0.1\,RW,1300000
Cody McLeod,LW,258,COL,32,25,1,0,1,-2,45,1,0,0,0,12,8.3,149,0.04,0,0.04,0.48,-0.2,0.1,-0.1\,LW,1333333
Justin Schultz,D,84,PIT,26,38,7,17,24,23,10,6,1,0,1,71,9.9,698,0.18,0.45,0.63,1.87,2.6,2.8,5.4\,D,1400000
Brian Campbell,D,157,CHI,37,39,3,7,10,7,12,2,1,0,0,39,7.7,732,0.08,0.18,0.26,1,0.5,2.1,2.7\,D,1500000
Zack Kassian,RW,196,EDM,26,35,2,7,9,0,68,2,0,0,0,52,3.8,412,0.06,0.2,0.26,1.49,0.1,0.5,0.6\,RW,1500000
Chris Neil,RW,262,OTT,37,36,1,1,2,-8,49,1,0,0,0,37,2.7,285,0.03,0.03,0.06,1.03,-0.5,0,-0.5\,RW,1500000
Eric Gelinas,D,309,COL,25,17,0,1,1,-2,10,0,0,0,0,22,0,209,0,0.06,0.06,1.29,-0.2,0.4,0.2\,D,1575000
Dalton Prout,D,349,CBJ,26,8,0,0,0,2,8,0,0,0,0,3,0,121,0,0,0,0.38,-0.2,0.4,0.2\,D,1575000
Kyle Clifford,LW,189,LAK,26,30,2,4,6,1,45,2,0,0,0,52,3.8,319,0.07,0.13,0.2,1.73,0,0.5,0.5\,LW,1600000
Teddy Purcell,LW,351,LAK,31,12,0,2,2,0,0,0,0,0,0,10,0,155,0,0.17,0.17,0.83,-0.2,0.2,0.0\,LW,1600000
Nick Holden,D,75,NYR,29,39,7,13,20,16,10,5,2,0,2,35,20,786,0.18,0.33,0.51,0.9,2.1,2.6,4.7\,D,1650000
Brayden McNabb,D,202,LAK,26,10,2,0,2,2,11,2,0,0,0,8,25,191,0.2,0,0.2,0.8,0.2,0.7,0.9\,D,1700000
Jay Beagle,RW,93,WSH,31,36,6,8,14,11,8,5,0,1,2,45,13.3,473,0.17,0.22,0.39,1.25,0.9,1,2.0\,C,1750000
Antoine Vermette,C,92,ANA,34,39,7,9,16,-6,22,4,3,0,0,53,13.2,632,0.18,0.23,0.41,1.36,0.9,0.5,1.3\,RW,1750000
Mark Letestu,C,77,EDM,31,35,7,10,17,0,9,2,3,2,3,51,13.7,497,0.2,0.29,0.49,1.46,1.4,0.6,1.9\,C,1800000
John Mitchell,C,259,COL,32,32,1,0,1,-6,20,1,0,0,1,32,3.1,409,0.03,0,0.03,1,-0.9,0.3,-0.6\,LW,1800000
Zack Smith,C,64,OTT,28,35,8,7,15,6,31,6,0,2,0,69,11.6,559,0.23,0.2,0.43,1.97,1.1,0.9,2.0\,LW,1887500
Dwight King,LW,122,LAK,27,37,5,5,10,3,6,5,0,0,1,54,9.3,566,0.14,0.14,0.27,1.46,0.1,0.9,1.0\,LW,1950000
Calvin de Haan,D,193,NYI,25,36,2,7,9,9,26,2,0,0,0,53,3.8,661,0.06,0.19,0.25,1.47,0.4,1.7,2.1\,D,1966668
Eric Fehr,C,140,PIT,31,33,4,2,6,-3,6,4,0,0,2,37,10.8,369,0.12,0.06,0.18,1.12,0.1,0.1,0.2\,C,2000000
Riley Sheahan,C,361,DET,25,36,0,6,6,-14,12,0,0,0,0,56,0,511,0,0.17,0.17,1.56,-0.8,0.1,-0.7\,LW,2075000
Brad Richardson,RW,128,ARI,31,16,5,4,9,-1,15,3,0,2,0,25,20,246,0.31,0.25,0.56,1.56,0.9,0.2,1.1\,C,2083333
David Schlemko,D,269,SJS,29,30,1,7,8,3,8,0,1,0,0,58,1.7,515,0.03,0.23,0.27,1.93,0.4,1.7,2.1\,D,2100000
Shawn Matthias,C,144,WPG,28,14,4,1,5,2,4,3,0,1,1,21,19,174,0.29,0.07,0.36,1.5,0.5,0.3,0.8\,LW,2125000
Thomas Hickey,D,165,NYI,27,36,3,8,11,4,12,3,0,0,1,42,7.1,656,0.08,0.22,0.31,1.17,0.8,1.3,2.0\,D,2200000
